"un_federativa","grandeza","medida",2016,2017
"Maranhão","Feminicídios","Ns. Absolutos","...",50
"Mato Grosso (4)","Feminicídios","Ns. Absolutos",49,76
"Mato Grosso do Sul","Feminicídios","Ns. Absolutos",34,27
"Minas Gerais","Feminicídios","Ns. Absolutos",134,145
"Pará","Feminicídios","Ns. Absolutos",44,37
"Paraíba","Feminicídios","Ns. Absolutos",24,22
"Paraná","Feminicídios","Ns. Absolutos",20,21
"Pernambuco","Feminicídios","Ns. Absolutos",112,76
"Piauí","Feminicídios","Ns. Absolutos",31,26
"Rio de Janeiro","Feminicídios","Ns. Absolutos",16,68
"Rio Grande do Norte","Feminicídios","Ns. Absolutos",27,23
"Rio Grande do Sul","Feminicídios","Ns. Absolutos",96,83
"Rondônia","Feminicídios","Ns. Absolutos",37,54
"Roraima","Feminicídios","Ns. Absolutos",3,3
"Santa Catarina","Feminicídios","Ns. Absolutos",54,48
"São Paulo (4)","Feminicídios","Ns. Absolutos",60,108
"Sergipe","Feminicídios","Ns. Absolutos","...",6
"Tocantins","Feminicídios","Ns. Absolutos",38,32
"Brasil","Feminicídios","Taxas","0,890227648170918","1,07710211617293"
"Acre","Feminicídios","Taxas","3,45843821870669","3,15992630079582"
"Alagoas (4)","Feminicídios","Taxas","2,08540425561495","1,78474275236119"
"Amapá","Feminicídios","Taxas","...","0,505384875852205"
"Amazonas","Feminicídios","Taxas","0,50471988803294","0,794999848453154"
"Bahia","Feminicídios","Taxas","0,232775938416798","0,951571687810418"
"Ceará","Feminicídios","Taxas","...","..."
"Distrito Federal","Feminicídios","Taxas","1,27588043724423","1,1861811148729"
"Espírito Santo","Feminicídios","Taxas","1,7578417319663","2,08651589105406"
"Goiás","Feminicídios","Taxas","0,508242801338652","0,915406948588383"
"Maranhão","Feminicídios","Taxas","...","1,41190171018007"
"Mato Grosso (4)","Feminicídios","Taxas","3,03369130890778","4,64683730750018"
"Mato Grosso do Sul","Feminicídios","Taxas","2,54183562397579","1,99482822312523"
"Minas Gerais","Feminicídios","Taxas","1,26904887343974","1,36512293543985"
"Pará","Feminicídios","Taxas","1,07974082293919","0,89714477613207"
"Paraíba","Feminicídios","Taxas","1,16404780162297","1,05951181548313"
"Paraná","Feminicídios","Taxas","0,351545252311058","0,366404861669079"
"Pernambuco","Feminicídios","Taxas","2,30751892680591","1,55481479087127"
"Piauí","Feminicídios","Taxas","1,88686824912017","1,57720191035548"
"Rio de Janeiro","Feminicídios","Taxas","0,186481794831331","0,78864399044581"
"Rio Grande do Norte","Feminicídios","Taxas","1,53090731773698","1,29176689560895"
"Rio Grande do Sul","Feminicídios","Taxas","1,66975571473893","1,4387144895363"
"Rondônia","Feminicídios","Taxas","4,22212002916686","6,09512457757401"
"Roraima","Feminicídios","Taxas","1,19672098450246","1,1768397928762"
"Santa Catarina","Feminicídios","Taxas","1,56749502973451","1,37533018669248"
"São Paulo (4)","Feminicídios","Taxas","0,264156371062039","0,471866922692338"
"Sergipe","Feminicídios","Taxas","...","0,512114932247195"
"Tocantins","Feminicídios","Taxas","5,02782504227342","4,18227942070202"
